source,target,weight
VIM,SDC2,0.9002518997557117
PCOLCE,COL3A1,0.9221591063787624
PDCD1LG2,MNDA,0.9046189060086716
FMNL1,DOCK2,0.9277984742145208
IL21R,MYO1G,0.9155914351876844
BGN,NTM,0.90755558671428
LILRB4,FPR3,0.9381613703774544
MSRB3,PLN,0.9279245404226122
AKT3,TCF4,0.9024733649393084
RNF150,TNS1,0.9006130016446892
FERMT2,FBLN5,0.9026687884310496
ARHGAP30,SLA,0.9203997164833366
BGN,COL5A2,0.9108721961312868
LILRB2,SIGLEC7,0.905163981117984
MS4A4A,C1QA,0.9215838707094706
SIRPB2,LAIR1,0.9227542531874982
ITGBL1,FGF14,0.9244087288811632
SULF1,COL5A2,0.9193991678563852
ARHGAP30,WAS,0.9435632499372241
CDH5,ARHGEF15,0.9180302070266896
ARHGAP25,SASH3,0.9095253156506868
MPEG1,CD4,0.9418238631499268
TLR8,LILRB4,0.902928611084228
BLK,MS4A1,0.9136488074835774
LILRB1,LILRB4,0.913136873318828
BTK,IL10RA,0.9198337994513448
CD4,ITGB2,0.9282501764583349
SLAMF8,LCP2,0.9018001092636496
EVC,C10orf72,0.9288992879177368
PDGFRB,RAB31,0.9237542204544869
LMOD1,TNS1,0.9351497865693376
MNDA,LCP2,0.9138606334310712
FSTL1,ZEB1,0.9001194508435053
LAIR1,C3AR1,0.9558017956082816
BGN,THBS2,0.924883318998604
CD4,LCP1,0.9042793611825918
DDR2,CALD1,0.9150502172998828
NCKAP1L,CD86,0.9081652686753864
C1QB,CD163,0.9015467271281558
LAIR1,C1QA,0.9325087162422692
MS4A6A,LRRC25,0.9032107334558968
CD53,CD300A,0.9074255685238206
GPR124,TCF4,0.9028159944772194
MS4A6A,TFEC,0.9207907996755617
MRAS,VIM,0.9296939380298592
GGT5,SYDE1,0.9046609015144684
CD4,MYO1F,0.9071913423179924
MYH11,SYNM,0.9193062101513132
FGR,LAPTM5,0.9154400515013658
BGN,OLFML2B,0.9121166833056712
SYDE1,COL1A2,0.902515165280898
ITGB2,LILRB2,0.9047063178649256
EMILIN1,FERMT2,0.903312837999459
CXCR6,CD3D,0.9258891926704133
C1R,MRAS,0.909211841509448
CSF1R,CLEC7A,0.9116664229827932
CD4,RCSD1,0.913649250531087
ARHGAP9,MYO1G,0.9330602168137316
COL5A2,ZNF469,0.916268512464934
SULF1,CALD1,0.9125368216832809
CALD1,SDC2,0.9204634042784208
CD4,C1QB,0.9145776170513504
ACTA2,FERMT2,0.9134866190725808
CD163,CD84,0.9054021610662776
GLI3,COL1A2,0.9080393087806372
AQP9,TREM1,0.9239412533099132
RPS11,RPL18,0.900782026126198
SPI1,ITGB2,0.9671452688849208
KIAA1462,FBXL7,0.9019800411053256
LILRB1,BTK,0.9269855731296156
TFEC,CYBB,0.93194192998341
SLA,DOK2,0.9087304796865866
FNDC1,EVC,0.9336747810209042
LCP1,PIK3R5,0.9023766635285426
BNC2,DZIP1,0.9124897018066636
CD93,TIE1,0.923544878613898
COL6A2,VIM,0.9344606971587844
NCKAP1L,CD53,0.9355258186491859
MYLK,KCNMB1,0.9030407419863896
LAIR1,FPR3,0.9375427881560742
GPC6,EVC,0.9072690567871684
LCP2,CYTH4,0.9112123267225214
MSR1,FPR3,0.9098926058398148
HCK,TLR8,0.9241935590948104
IKZF1,RCSD1,0.9369189015767188
